id,conversation_id,user_id,confusion_count,jargon_slip_count,device_mismatch_count,max_response_word_count,step_overload_count,total_turns,updated_at
ddc2d8fa-9aee-4e47-a747-5276ad3f7a6b,c200c17a-d416-4bd8-8251-6c0e7eebe14b,70906040-89eb-4fe2-9a24-147d5a84acda,0,0,0,0,0,7,2026-04-15 15:11:33
af6ebeb3-9506-4eeb-9341-01c89d27a560,f34bf46f-0528-4490-bf0e-4c16ddaf6542,cd51d10f-da0b-42e1-b785-0fe403d06e75,0,0,0,0,0,1,2026-04-15 15:16:59
38e7caf2-41f4-4e2b-a797-259df9e6fe5b,d6062d75-499b-48c1-b6c9-3cf91700a21e,31c83ae2-551d-499a-8d94-dc48b215ef14,0,0,0,0,0,1,2026-04-15 15:29:03
8ec0dd3d-a8f7-414b-b4ea-d60bd3a6741a,a8cfec34-ec58-42c1-a8d5-de8b6b85179b,703c5aa6-1438-4407-bd8f-f12f84c23bbb,0,0,0,0,0,4,2026-04-15 17:58:45
a3f315f5-be75-41a4-9db8-eca3bf239b69,3f1b072d-6c4a-4706-9985-b803321bb137,ba208404-e5e8-44d7-9ad1-af11989c301a,0,0,0,0,0,1,2026-04-15 18:49:40
668e53df-326d-4d98-99d0-482626dfbe38,9e4d9f10-e981-4ad5-b586-10e6aeb26fbd,dceb19a7-37d6-4a3d-b4e8-014855aa45cb,0,0,0,0,0,1,2026-04-16 02:34:04
15de657e-2b32-4b0b-9a4d-7b146ff7da85,880246af-2295-413c-80fa-9c7705fbf6e1,bfbbdd89-cb12-4849-94e1-69e11d0010ea,0,0,0,0,0,1,2026-04-16 03:16:30
538f55db-2b7b-4b95-a0bc-cbd2a8bc7513,810bba0e-fa27-4ea9-9274-c9286ee731df,16cf4edf-6de4-47ff-b5c0-06cad3d21a22,0,0,0,0,0,1,2026-04-16 14:12:05
e49f58b8-ab4a-4e48-800b-1c6662cd92f0,f3959ac5-9fa8-4d45-b746-3052bc292e1d,0d2c60e4-63a1-4818-bc67-cdc0a2bcd4b7,0,0,0,0,0,1,2026-04-16 14:12:07
a97a038d-d63d-4f7c-b0bb-fcfb9a86bac5,86819d7c-b6dc-4910-8437-78e094794b1b,54ae231d-7806-41cc-b23b-d408c0188b2a,0,0,0,0,1,1,2026-04-16 14:12:17
f138f877-ba08-4c6f-ab56-0527d85ced93,a5fddd23-51c8-406e-984d-fcdf3daa4b82,bdc5501c-874b-40f6-82ab-f86971099bc6,0,0,0,0,0,1,2026-04-16 14:30:59
fff3c0fe-b28f-4930-a30c-eb91c4e1b026,afc91da2-2aab-4124-b54e-c9056b1f8ae3,865693a1-f795-4f95-88e4-b7825973c743,0,0,0,0,0,2,2026-04-16 14:44:10
27a8ab40-36c5-472e-9ab2-b223ca1456d0,3ae52fcd-5cdd-410c-8f51-efb0b417f61a,89277f1f-0381-44ad-9588-5edbfdab15ab,0,0,0,0,0,2,2026-04-16 14:59:27
25df78b3-b1c7-4aee-aac5-8d37d5419274,c702a0ba-d064-417b-9f54-e82a311ac288,117240a5-4b38-4e0c-a83e-68be18a21921,0,0,0,0,0,3,2026-04-16 19:56:37
081efc73-989e-48d7-bc85-7f1e90f75f39,ff974880-6a6c-4628-8782-42f9f47deef5,c0a99cdb-7096-4ccc-a652-74a5eb1bb390,0,0,0,0,0,3,2026-04-16 17:42:44
67cd8052-ff9a-4565-b593-e5926360b6a8,7a6d6440-fdf6-433a-9fe6-9e966f7b666e,da9d601f-17db-4fdf-b628-6de046a724b9,0,0,0,0,0,1,2026-04-16 18:55:33
c2ce3a8e-fce0-4228-b9e2-91593f62c7c0,3eb83ad0-bf45-46a1-a338-1f375ea9d725,b8208416-fd22-4c18-8a48-399f9b676929,0,0,0,0,0,2,2026-04-16 19:38:19
9598fb76-aa94-46a0-955a-292ea3a4643f,0fec1dee-c0cc-43c8-aa0e-12551b30acfb,39dcef88-b901-4ebe-9697-6ba520367f44,2,0,0,0,0,5,2026-04-16 20:10:41
38467256-0f4f-4f3e-a755-f8354908a9a2,af662731-456b-4b1c-aa2b-b89af42ee98e,49b01253-960e-46e9-afbb-2891a863767a,1,0,1,0,1,11,2026-04-16 20:13:30
dec1ba0e-e606-43aa-a141-2dcab4ddd4c7,5a892227-dcb6-42fe-b023-35073ace6cf1,27ef52e4-728f-4a92-b5c1-dbf68d94d795,0,0,0,0,0,9,2026-04-16 20:24:02
1923201d-c001-49a9-935a-e00ffba45548,f67eba79-b8a5-4513-a0c5-559ee64a0b89,15c62a0c-2484-4568-b416-53064dd5f29b,0,0,0,0,0,4,2026-04-16 20:09:48
